Query,Last 28 days Clicks,Previous 28 days Clicks,Last 28 days Impressions,Previous 28 days Impressions,Last 28 days CTR,Previous 28 days CTR,Last 28 days Position,Previous 28 days Position
starter kit vape,31,28,787,673,3.94%,4.16%,6.14,5.08
vaporesso tarot mini,31,55,767,896,4.04%,6.14%,6.53,6.49
juice for vape,31,0,511,0,6.07%,0%,2.47,0
truth about vaping,31,21,303,243,10.23%,8.64%,9.51,9.65
pod recommended,31,45,231,421,13.42%,10.69%,3.82,4.7
best nic salt mods,31,18,211,175,14.69%,10.29%,2.78,3.7
is salt nicotine bad,31,41,144,216,21.53%,18.98%,1.92,2.01
small pod vape,31,18,125,82,24.8%,21.95%,1.91,2.48
burnt disposable vape,31,0,107,0,28.97%,0%,1.5,0
smok ohms too low,31,38,99,123,31.31%,30.89%,1.18,1.72
smok species won't turn on,31,0,75,0,41.33%,0%,2.43,0
nord 1 vs nord 2,31,0,60,0,51.67%,0%,3.15,0
smok rpm40 kit,30,53,2992,5372,1%,0.99%,8.71,8.52
vaping mods,30,21,1452,1412,2.07%,1.49%,8.3,8.99
morph 219,30,27,876,789,3.42%,3.42%,6.03,5.74
best vape 2019,30,76,862,1734,3.48%,4.38%,7.24,6.02
popular vape brands,30,22,822,885,3.65%,2.49%,4.63,5
vape pena,30,25,467,460,6.42%,5.43%,3.85,4.27
smok nord short circuit fix,30,22,340,265,8.82%,8.3%,3.66,3.99
novo smok vape,30,40,299,262,10.03%,15.27%,4.33,4.06
rda rta,30,35,287,265,10.45%,13.21%,6.32,5.92
lowest nicotine vape,30,19,228,195,13.16%,9.74%,1.28,3.04
novo 2 mesh pods,30,0,207,0,14.49%,0%,4.21,0
novo 2 juice,30,0,156,0,19.23%,0%,2.89,0
best pod devices,30,55,111,143,27.03%,38.46%,1.02,1.6
iqos or vape,30,0,86,0,34.88%,0%,4.1,0
best smok vape pen,30,29,78,90,38.46%,32.22%,1.05,2.04
top pod system 2019,30,18,53,59,56.6%,30.51%,2.19,3.54
smok troubleshooting,30,35,48,68,62.5%,51.47%,1.33,1.06
drag 2 platinum,29,27,1755,1979,1.65%,1.36%,7.81,7.67
smok stick x8,29,33,1101,1086,2.63%,3.04%,6.62,6.7
moti pod,29,0,842,0,3.44%,0%,6.88,0
smok priv v8 kit,29,33,831,806,3.49%,4.09%,7.46,7.74
can vape juice go bad,29,22,817,744,3.55%,2.96%,1.57,3.07
vape online store,29,0,785,0,3.69%,0%,11.24,0
novo 2 not hitting,29,30,750,554,3.87%,5.42%,5.22,5.64
free max twister,29,0,478,0,6.07%,0%,4.45,0
smok nord specs,29,36,313,324,9.27%,11.11%,1.18,1.21
what is rda vape,29,29,295,266,9.83%,10.9%,1.51,1.07
smok priv n19 replacement coils,29,38,236,233,12.29%,16.31%,2.93,3.36
suprin air plus,29,0,228,0,12.72%,0%,3.78,0
pod vape pen,29,56,201,295,14.43%,18.98%,2.34,2.76
smok twister,29,28,177,140,16.38%,20%,1.38,1.23
priv n19 coils,29,27,167,96,17.37%,28.12%,2.43,2.69
smok vape parts,29,27,163,120,17.79%,22.5%,1.55,1.66
best pod flavors,29,32,126,146,23.02%,21.92%,3.23,3.67
rta rda,29,25,118,105,24.58%,23.81%,5.97,4.58
vape pod 2020,29,0,110,0,26.36%,0%,4.38,0
best pod vapes 2019,29,67,105,238,27.62%,28.15%,2.35,1.88
smok novo pre filled pods,29,23,52,45,55.77%,51.11%,1.06,1.16
best replacement for juul,29,30,45,45,64.44%,66.67%,1.58,1.42
nicotine salts,28,55,1650,3276,1.7%,1.68%,11.56,11.16
best mod vape,28,0,913,0,3.07%,0%,9.34,0
vape novo,28,48,886,938,3.16%,5.12%,5.34,4.89
smok priv m17,28,26,814,843,3.44%,3.08%,6.4,6.28
suorin drop vape,28,24,757,721,3.7%,3.33%,6.28,6.21
smok n19,28,0,576,0,4.86%,0%,6.95,0
refillable vape pods,28,21,468,343,5.98%,6.12%,6.38,7.19
rpm coil vs nord coil,28,0,423,0,6.62%,0%,6.36,0
pod aio terbaik 2020,28,0,304,0,9.21%,0%,8.28,0
best vape tanks 2019,28,44,295,586,9.49%,7.51%,4.37,6.37
what is a vape pod,28,0,278,0,10.07%,0%,5.68,0
what is rba vape,28,36,242,191,11.57%,18.85%,1,1.01
smok salt nic vape,28,48,239,443,11.72%,10.84%,5.61,4.79
caliburn vs koko,28,0,175,0,16%,0%,4.94,0
best vapes of 2020,28,0,140,0,20%,0%,5.33,0
new pod vape,28,0,137,0,20.44%,0%,3.2,0
v8 stick smok,28,26,134,123,20.9%,21.14%,3,2.75
best fruity e juice,28,0,98,0,28.57%,0%,2.7,0
buying a vape,28,0,90,0,31.11%,0%,3.61,0
nova 2 pods,28,0,84,0,33.33%,0%,2.64,0
50 nic vapes,28,18,75,59,37.33%,30.51%,1.08,2.76
recommended pod,28,0,72,0,38.89%,0%,2.65,0
best flavor pod,28,39,68,83,41.18%,46.99%,1.19,1.39
best pod system for salt nic,28,27,53,79,52.83%,34.18%,2.57,4.38
new pod system 2020,28,19,51,40,54.9%,47.5%,1.9,2.27
smok fetch,27,33,9512,26685,0.28%,0.12%,9.97,9.19
the vape shop,27,0,5213,0,0.52%,0%,10.92,0
freemax,27,0,3560,0,0.76%,0%,8.89,0
smoke vape,27,0,3066,0,0.88%,0%,10.01,0
sourin edge,27,40,3020,2651,0.89%,1.51%,6.92,6.08
vape website,27,18,660,602,4.09%,2.99%,9.01,9.6
how much is a vape pen,27,0,592,0,4.56%,0%,3.37,0
vaping headache,27,0,586,0,4.61%,0%,4.12,0
salt nic vape,27,0,507,0,5.33%,0%,8.95,0
aio pod terbaik,27,24,438,382,6.16%,6.28%,7.63,8.72
smok morph 219 mod,27,0,422,0,6.4%,0%,5.53,0
vape pins,27,21,414,352,6.52%,5.97%,2.58,2.81
vape coil price,27,29,314,383,8.6%,7.57%,4,4.74
how much nicotine in vape,27,46,294,301,9.18%,15.28%,2.91,2.87
vapes that look like juuls,27,37,256,339,10.55%,10.91%,2.59,2.17
vaping wattage sweet spot,27,0,250,0,10.8%,0%,3.01,0
novo vape kit,27,31,241,236,11.2%,13.14%,4.05,4.38
smok rpm40 ohms too low,27,0,215,0,12.56%,0%,3.56,0
best stealth vape,27,25,201,244,13.43%,10.25%,1.81,4.44
freemax twister tank,27,0,184,0,14.67%,0%,2.89,0
how to clean your vape,27,21,163,158,16.56%,13.29%,1,2.4
smok v fin battery error fix,27,0,147,0,18.37%,0%,3.59,0
why wont my smok novo charge,27,0,123,0,21.95%,0%,1.09,0
top salt nic vapes,27,0,91,0,29.67%,0%,2.21,0
smok novo 2 vs juul,27,0,89,0,30.34%,0%,2.71,0
new pod vape 2020,27,0,64,0,42.19%,0%,1.95,0
best open pod vape,27,22,53,49,50.94%,44.9%,3.45,3.37
vaping com,27,18,29,23,93.1%,78.26%,1,1
smok mico,26,44,8391,9055,0.31%,0.49%,8.66,7.64
smok mod,26,21,4002,3927,0.65%,0.53%,7.8,7.17
smok prince,26,30,3114,3996,0.83%,0.75%,9.28,8.13
orion q pro,26,32,2298,2132,1.13%,1.5%,9.38,8.94
rta tank,26,25,937,1177,2.77%,2.12%,13.35,13.81
vape rta,26,26,853,766,3.05%,3.39%,8.68,8.63
how long does a vape coil last,26,21,759,684,3.43%,3.07%,4.7,5.49
vape.juice,26,0,707,0,3.68%,0%,7.44,0
nord aio 19,26,0,595,0,4.37%,0%,7.23,0
high nicotine vape juice,26,21,567,526,4.59%,3.99%,6.4,5.55
tobacco monster,26,0,393,0,6.62%,0%,4.37,0
why wont my novo charge,26,20,392,503,6.63%,3.98%,2.38,4.39
burnt taste vape,26,33,390,517,6.67%,6.38%,2.26,2.42
tiny vape,26,26,328,278,7.93%,9.35%,2.51,2.85
why is my nord not hitting,26,0,180,0,14.44%,0%,1.47,0
types of vapes like juuls,26,40,151,144,17.22%,27.78%,1.07,1.05
simple vape pen,26,25,149,118,17.45%,21.19%,1.41,1.36
freemax twister 80w kit,26,0,144,0,18.06%,0%,3.67,0
novo device,26,0,129,0,20.16%,0%,1.93,0
new pod systems 2020,26,0,120,0,21.67%,0%,3.27,0
juul substitute,26,26,113,118,23.01%,22.03%,2.93,3.09
best nic salt device 2020,26,0,89,0,29.21%,0%,2.97,0
best juice for novo 2,26,0,89,0,29.21%,0%,3.24,0
devices similar to juul,26,31,81,86,32.1%,36.05%,2.1,1.49
smok novo 2 salt nic pod,26,29,64,65,40.62%,44.62%,1,1
best nic salt pod system,26,28,56,72,46.43%,38.89%,2.18,3.04
is vaping salt nicotine bad for you,26,0,41,0,63.41%,0%,1.2,0
nord kit,25,31,4336,4674,0.58%,0.66%,6.8,6.38
stick prince,25,25,2631,2563,0.95%,0.98%,10.56,9.35
vinci voopoo,25,24,2241,3475,1.12%,0.69%,7.52,7.64
vinci mod pod,25,23,2146,3331,1.16%,0.69%,8.1,7.82
vaporesso revenger x,25,54,1843,2027,1.36%,2.66%,13.56,13.33
nord 2 vape,25,0,1820,0,1.37%,0%,10.35,0
air vape,25,0,1353,0,1.85%,0%,4.02,0
buy vape juice online,25,20,1341,1623,1.86%,1.23%,13.33,13.11
vaporesso gen kit,25,31,1087,1272,2.3%,2.44%,9.45,8.49
vapes online,25,0,961,0,2.6%,0%,11.42,0
vape pin,25,40,782,708,3.2%,5.65%,3.73,2.86
smok nord 2 kit,25,0,747,0,3.35%,0%,13.76,0
smok morph kit,25,0,705,0,3.55%,0%,6.64,0
vaping kits,25,31,593,708,4.22%,4.38%,8.88,9.67
vape.pen,25,26,579,551,4.32%,4.72%,4.52,3.75
vapes.,25,0,523,0,4.78%,0%,5.26,0
best tanks vape,25,22,464,472,5.39%,4.66%,3.64,6.38
highest nicotine juice,25,47,404,568,6.19%,8.27%,1,1
why does my vape taste burnt even with a new coil,25,26,364,345,6.87%,7.54%,1.01,1.01
vaper store,25,0,341,0,7.33%,0%,5.3,0
sigelei shikra coils,25,59,286,435,8.74%,13.56%,4.36,4.51
smok morph 219 price,25,22,258,181,9.69%,12.15%,2.82,2.7
best vape mod for flavor,25,25,229,242,10.92%,10.33%,4.43,4.27
rta vape meaning,25,43,225,281,11.11%,15.3%,1,1.01
first time vaping,25,21,161,150,15.53%,14%,2.75,2.77
nord wont hit,25,0,130,0,19.23%,0%,1.04,0
smok vape won't charge,25,46,111,135,22.52%,34.07%,1.58,2.06
which novo 2 pod is for salt nic,25,27,99,109,25.25%,24.77%,1.01,1
smok ohms too high,25,38,96,91,26.04%,41.76%,1.09,1.11
smok wont turn on,25,0,91,0,27.47%,0%,3.05,0
smok novo vape kit,25,0,86,0,29.07%,0%,4.13,0
best pod system for nic salts,25,0,73,0,34.25%,0%,3.27,0
best pod 2020 malaysia,25,0,64,0,39.06%,0%,2.88,0
best smok pod,25,31,58,84,43.1%,36.9%,1.66,1.89
pre filled novo pods,25,31,56,77,44.64%,40.26%,1.18,1.14
best pod e cig,25,42,54,66,46.3%,63.64%,1.63,1.21
juul dupes,25,25,43,52,58.14%,48.08%,2.47,2.48
best e cig pod system,25,19,41,27,60.98%,70.37%,1.98,1.78
novo 2 juice flavors,25,0,40,0,62.5%,0%,1.07,0
juice vape,24,21,4479,2748,0.54%,0.76%,9.37,9.83
smok starter kit,24,41,1454,1848,1.65%,2.22%,8.15,8.22
tarot baby,24,27,1170,1367,2.05%,1.98%,9.21,8.3
smok ecig,24,34,1094,1055,2.19%,3.22%,7.31,6.06
uwell crown pod review,24,29,625,846,3.84%,3.43%,7.49,7.13
sourin plus,24,0,623,0,3.85%,0%,5.03,0
vape mod starter kit,24,28,595,589,4.03%,4.75%,8.89,9.28
vape alternative,24,23,483,973,4.97%,2.36%,2.87,8.09
flavour pod terbaik,24,0,263,0,9.13%,0%,5.61,0
best vape pen 2019,24,67,257,434,9.34%,15.44%,3.47,1.32
rpm vs nord coil,24,0,245,0,9.8%,0%,5.61,0
pod recommended 2020,24,0,153,0,15.69%,0%,2.6,0
smok priv n19 not firing,24,19,111,88,21.62%,21.59%,2.12,3.88
smok mag replacement parts,24,0,110,0,21.82%,0%,1.76,0
knock off juul,24,24,93,119,25.81%,20.17%,1.45,2.38
pod type c,24,0,86,0,27.91%,0%,3.43,0
top pod systems,24,35,73,68,32.88%,51.47%,2.3,2.04
best 18650 mod,24,0,70,0,34.29%,0%,3.5,0
smok novo 2 salt nic,24,22,65,51,36.92%,43.14%,1.03,1.08
novo 2 light meanings,24,0,60,0,40%,0%,1,0
best vape pod systems,24,54,60,124,40%,43.55%,1.22,1.16
top 10 vape pods,24,26,56,58,42.86%,44.83%,1.29,1.57
small refillable vape,24,32,50,49,48%,65.31%,2.14,2.27
smok nord tastes burnt,24,37,49,77,48.98%,48.05%,1.2,1.26
best pod devices 2020,24,0,49,0,48.98%,0%,1.55,0
things like juul,24,25,46,48,52.17%,52.08%,1.5,1.29
vape brands,23,0,4571,0,0.5%,0%,3.02,0
target pm80,23,39,2219,2518,1.04%,1.55%,9.04,7.88
smok.com,23,34,1556,1474,1.48%,2.31%,6.21,6.17
best nic salt juice,23,0,1066,0,2.16%,0%,10.36,0
vaping juice,23,21,935,978,2.46%,2.15%,7.98,8.47
prince stick vape,23,18,778,710,2.96%,2.54%,6.05,6.42
smok novo 2 colors,23,0,760,0,3.03%,0%,3.2,0
vape websites,23,28,657,763,3.5%,3.67%,17.48,16.22
moti pods,23,0,656,0,3.51%,0%,7.88,0
smok stick v8 kit,23,20,566,654,4.06%,3.06%,10.67,13
vaporesso luxe mod,23,21,478,580,4.81%,3.62%,8.36,7.3
nova smok,23,30,351,311,6.55%,9.65%,4.37,4.1
vape pod devices,23,0,333,0,6.91%,0%,4.56,0
best aio vape 2020,23,0,314,0,7.32%,0%,8.42,0
rba meaning vape,23,30,283,329,8.13%,9.12%,1,1
is salt nic safe,23,0,282,0,8.16%,0%,3.41,0
small vape pods,23,32,242,206,9.5%,15.53%,2.67,2.48
sigelei chronus coils,23,32,226,325,10.18%,9.85%,3.61,3.6
snowwolf mfeng coils,23,0,219,0,10.5%,0%,3.52,0
vaping blog,23,22,215,212,10.7%,10.38%,1.97,1.94
vape pod kits,23,0,195,0,11.79%,0%,5.36,0
novo 2 charging,23,0,148,0,15.54%,0%,3.16,0
smok x priv not turning on,23,0,148,0,15.54%,0%,3.58,0
pod system 2020,23,0,125,0,18.4%,0%,4.44,0
moti pre filled pods,23,0,105,0,21.9%,0%,9.92,0
small vape devices,23,37,93,134,24.73%,27.61%,1.2,1.5
freemax twister vape pen,23,0,87,0,26.44%,0%,2.43,0
refillable pod systems,23,18,79,80,29.11%,22.5%,2.28,3.21
teardrop shaped vape,23,20,64,69,35.94%,28.99%,1,1
best pod in malaysia,23,0,62,0,37.1%,0%,3.81,0
nicotine devices like juul,23,0,59,0,38.98%,0%,2.07,0
vapes with refillable pods,23,0,58,0,39.66%,0%,1.07,0
smok novo2 pods,23,0,44,0,52.27%,0%,2.61,0
top 10 pod vapes,23,42,41,77,56.1%,54.55%,1.1,1.13
smok tanks,22,43,2437,2556,0.9%,1.68%,9.15,7.93
infinix vape,22,25,2333,2169,0.94%,1.15%,9,7.9
vaporesso pm80,22,22,1569,1434,1.4%,1.53%,8.59,7.48
vaporesso renova zero,22,20,1305,1270,1.69%,1.57%,9.21,9.79
vape ahop,22,23,1089,1229,2.02%,1.87%,2.84,2.68
vape rda,22,24,954,886,2.31%,2.71%,8.11,7.75
smok 2,22,22,920,635,2.39%,3.46%,7.35,6.92
best box mod,22,23,880,1030,2.5%,2.23%,9.18,8.77
smok t storm,22,26,842,900,2.61%,2.89%,6.61,6.91
best mod,22,0,752,0,2.93%,0%,9.14,0
smok nord not firing,22,19,694,936,3.17%,2.03%,6.77,6.73
vale shop,22,0,694,0,3.17%,0%,8.01,0
novo vapes,22,0,678,0,3.24%,0%,6.14,0
spesifikasi smok novo,22,0,620,0,3.55%,0%,8.7,0
novo colors,22,21,615,560,3.58%,3.75%,1.02,1.01
mtl vape meaning,22,27,546,583,4.03%,4.63%,2.89,3.67
novo 2 coils,22,0,427,0,5.15%,0%,5.95,0
voopoo drag nano pod kit,22,0,412,0,5.34%,0%,6.84,0
atomizer short smok,22,38,406,349,5.42%,10.89%,6.19,4.81
juul battery mah,22,34,377,438,5.84%,7.76%,2.72,3.03
smok nord coils free shipping,22,24,368,359,5.98%,6.69%,9.36,8.34
smok m2 coil,22,27,346,339,6.36%,7.96%,4.34,4.17
mod pod vape,22,0,305,0,7.21%,0%,4.46,0
smok priv v8 coils,22,30,287,319,7.67%,9.4%,3.02,3.31
smok rha 220w,22,0,261,0,8.43%,0%,6.35,0
best vape kits 2020,22,0,217,0,10.14%,0%,6.06,0
new pod systems,22,29,211,215,10.43%,13.49%,3.39,3.4
cleaning vape tank,22,21,208,206,10.58%,10.19%,1.29,1.06
new coil tastes burnt smok,22,20,205,167,10.73%,11.98%,2.05,2.02
top vapes 2020,22,0,186,0,11.83%,0%,4.08,0
vape.pens,22,0,168,0,13.1%,0%,3.08,0
why is my smok vape not charging,22,31,148,144,14.86%,21.53%,1.49,1.74
burnt coil taste,22,32,147,139,14.97%,23.02%,1.03,1.04
caliburn burnt taste,22,20,147,135,14.97%,14.81%,3.41,2.99
tiny vapes,22,18,131,119,16.79%,15.13%,1,1.81
best juice for smok novo,22,0,121,0,18.18%,0%,2.46,0
smok slim kit,22,0,115,0,19.13%,0%,2.92,0
how to reset smok vape,22,23,90,60,24.44%,38.33%,1,1.82
best fruity vape juice 2019,22,29,84,104,26.19%,27.88%,3.08,1.88
salt vape devices,22,0,75,0,29.33%,0%,1.8,0
best nicotine salt device,22,19,68,67,32.35%,28.36%,2.94,4.7
best vape devices 2020,22,0,67,0,32.84%,0%,2.03,0
best small refillable vape,22,0,67,0,32.84%,0%,2.52,0
my smok wont turn on,22,0,64,0,34.38%,0%,2.83,0
best salt nic juice malaysia,22,0,62,0,35.48%,0%,2.4,0
ohms too high smok,22,30,61,90,36.07%,33.33%,1.66,2.77
smok not working,22,34,52,53,42.31%,64.15%,2.37,1.51
best mouth to lung pod vape,22,0,50,0,44%,0%,1.32,0
best small vape device,22,0,46,0,47.83%,0%,1.85,0
best vaping pod system,22,40,45,64,48.89%,62.5%,1.78,1.58
pod best seller,22,31,44,53,50%,58.49%,1,1.13
smok rpm coil differences,22,19,36,40,61.11%,47.5%,1.08,1.3
best alternatives to juul,22,18,33,29,66.67%,62.07%,1.94,1.97
vaping.com track order,22,22,24,23,91.67%,95.65%,1,1
vaporesso gen,21,30,3396,8557,0.62%,0.35%,13.05,9.94
mods vape,21,28,1851,2047,1.13%,1.37%,9.85,10.96
stick prince vape,21,0,1300,0,1.62%,0%,7.69,0
cheap vape pens,21,0,1132,0,1.86%,0%,11.9,0
vaoe shop,21,22,909,937,2.31%,2.35%,2.87,2.77
best box mods,21,27,690,701,3.04%,3.85%,7.99,8.63
priv n19,21,24,654,565,3.21%,4.25%,5.85,5.46
mint juul pods,21,0,623,0,3.37%,0%,16.98,0
smoke novo 2,21,0,547,0,3.84%,0%,6.59,0
suorin reno review,21,0,483,0,4.35%,0%,5.37,0
how much is a novo 2,21,0,442,0,4.75%,0%,3.31,0
best mods 2019,21,49,401,797,5.24%,6.15%,6.67,7.41
shop vape,21,21,386,578,5.44%,3.63%,8.53,9.99
smok mico price,21,23,379,298,5.54%,7.72%,3.78,3.28
what is an rta,21,20,366,573,5.74%,3.49%,1.36,1.18
priv n19 kit,21,0,312,0,6.73%,0%,6.75,0
draw activated vape,21,0,235,0,8.94%,0%,5.49,0
vape pod terbaik,21,53,162,1053,12.96%,5.03%,5.92,6.62
vaping nicotine levels,21,0,152,0,13.82%,0%,1.12,0
pre filled pods,21,0,140,0,15%,0%,1.2,0
pod terbaru,21,29,138,297,15.22%,9.76%,2.62,2.87
best salt nic vapes 2019,21,18,129,196,16.28%,9.18%,2.46,1.94
vape com,21,0,107,0,19.63%,0%,1.24,0
best pod system vape 2018,21,0,82,0,25.61%,0%,6.32,0
smallest vape pod,21,26,71,84,29.58%,30.95%,1.54,2.6
good salt nic vapes,21,0,61,0,34.43%,0%,1.92,0
vape tastes burnt with new coil,21,32,57,125,36.84%,25.6%,1.28,1.45
